report_date,open_street,sponsor,borough,category,sponsor_type,total_weekly_hours,length_mi
2020-07-02,107th Avenue,Jamaica,Queens,Full Block,,84,0.0456899340079913
2020-07-02,108th Avenue,Jamaica,Queens,Full Block,,84,0.2168748651168944
2020-07-02,120th Street,South Richmond Hill,Queens,Full Block,,84,0.2758139405888036
2020-07-02,155th Street - South Jamaica,Baisley Pond Park/South Jamaica,Queens,Full Block,,84,0.3305146596139165
2020-07-02,165th Street,Jamaica Hills,Queens,Full Block,,84,0.099660564098594
2020-07-02,169th Street,Claremont,Bronx,Full Block,,84,0.3437690239660057
2020-07-02,169th Street Queens,Plaut Triangle,Queens,Full Block,,84,0.0359635244477994
2020-07-02,1st Place - 2nd Place,Carroll Gardens,Brooklyn,Full Block,,84,0.616426572556459
2020-07-02,21st Street,Sunset Park,Brooklyn,Full Block,,84,0.5947473978022678
2020-07-02,23rd Street,Astoria/Long Island City,Queens,,,0,1.8525181228266852
2020-07-02,27th Street,Lond Island City,Queens,Full Block,,84,0.1646762752170808
2020-07-02,2nd Avenue Service Road,Alliance for Kips Bay,Manhattan,Full Block - Partner,Neighborhood Organization,84,0.119218034960957
2020-07-02,34th Avenue,Jackson Heights,Queens,Full Block,,84,2.1461053995948873
2020-07-02,35th Avenue,Crocheron Park,Queens,Full Block,,84,0.290173180514904
2020-07-02,37th Avenue,Thai Community USA,Queens,Full Block - Partner,Nonprofit,6,0.2502257301368856
2020-07-02,38th Street,Dome Playground,Brooklyn,Full Block,,84,0.1229537470469561
2020-07-02,39th Avenue - Woodside,Sunnyside,Queens,Full Block,,84,0.4614458908478747
2020-07-02,46th Street,Sunnyside Shines,Queens,Full Block - Partner,Business Improvement District,16,0.0596467545821726
2020-07-02,4th Place,Carroll Gardens,Brooklyn,Full Block,,84,0.3033407224778711
2020-07-02,5th Avenue - Park Slope,Park Slope Fifth Avenue Business Improvement District,Brooklyn,Full Block - Partner,Business Improvement District,8,0.0729443294700847
2020-07-02,5th Street,Lond Island City,Queens,Full Block,,84,0.2469501272939351
2020-07-02,60th Street - Laurel Hill Boulevard - 47th Avenue,Maspeth,Queens,Full Block,,84,0.1578838847540415
2020-07-02,60th Street - Queens Boulevard - 43rd Avenue,Woodside,Queens,Full Block,,84,0.1028657067644011
2020-07-02,66th Road,Forest Hills,Queens,Full Block,,84,0.1647775679298472
